cof_02436_01372133479	Quiero saber qué está pasando en Veracruz.
cof_03397_01983407356	¿Puedes revisar si hay alguna tienda departo cerca de la casa de mis papás?
cof_07508_01601808212	¿Quieres que revise tu nómina y los depósitos que han hecho en el último mes?
cof_02436_00907032875	Quiero saber que tipo de pizza tiene menos calorías.
cof_07508_00299917657	Usted va a disfrutar de una playa muy bonita, y con una vista increíble
cof_03034_01311433053	¿Quién subió el mejor video?
cof_06136_01951500234	El material que usan para acabar las bolsas es sintético
cof_09334_00136374510	¿Me ayudas a buscar una tienda dónde pueda comprarle un regalo a mi esposo?
cof_01523_00419335523	¿Cuáles son las zonas dónde están los mejores restaurantes?
cof_00610_00444664843	Señor Fernando ¿en que le puedo ayudar?
cof_09697_00621347591	Estoy muy emocionada porque está Hugo Sánchez aquí en Rosarito
cof_05223_00299105946	A mi esposa le encantaría ir al festival de cine de Venecia
cof_04310_01698700785	¿Cuánto tiempo hago de aquí a Santiago de Chile en tren?
cof_07049_01619137687	Busca bolsas que cuesten entre tres mil y cinco mil pesos.
cof_01523_01064275630	¿Cuánto cuesta una bicicleta para niños?
cof_02436_01575877790	¿Quieres que te mande las reseñas de diferentes medios?
cof_03397_01900124901	Ayer llovió mucho, y llegue tarde a mi reunión
cof_02484_01580167136	También esta la dieta balanceada de calorías restringidas, ésta dieta viene con supervisión de cardiólogo
cof_03397_00123924069	Me parece muy interesante el libro de Rafael sobre fotografía digital
cof_03349_01913510401	Te recomiendo que veas las películas de Luis Buñuel.
cof_08421_01121297066	Ayer llovió mucho, y llegue tarde a mi reunión
cof_00610_00509877285	Por las tardes se escucha música en la Plaza.
cof_07508_01082464254	¿Cuántas medallas ha ganado?
cof_09334_00430370240	También necesitamos una calcomanía de un dinosaurio para el computador.
cof_07508_01612943812	Tienes el tiempo contado
cof_09334_01164522354	Me duele mucho la cabeza cuando hago ejercicio.
cof_05223_00423472782	Estoy muy mareado
cof_08421_00218256922	Algunos actores saben hablar con acentos distintos
cof_03349_01294819949	Voy a ver primero la película original y luego veré la nueva versión.
